Ref,Val,Package,PosX,PosY,Rot,Side
"C21","1uF","C_0603_1608Metric",61.600000,-57.575700,-90.000000,top
"C22","1uF","C_0603_1608Metric",59.050000,-57.550700,-90.000000,top
"C23","10uF","C_0603_1608Metric",62.310000,-47.160000,90.000000,top
"C24","10uF","C_0603_1608Metric",54.900000,-43.850700,-90.000000,top
"C25","10uF","C_0603_1608Metric",60.100000,-46.400000,0.000000,top
"C26","10uF","C_0603_1608Metric",57.000000,-46.400000,180.000000,top
"C27","10uF","C_0603_1608Metric",57.550000,-57.550700,-90.000000,top
"C28","10uF","C_0603_1608Metric",64.550000,-53.600000,0.000000,top
"C29","10uF","C_0603_1608Metric",64.550000,-52.125000,0.000000,top
"C30","100nF","C_0201_0603Metric",54.200000,-50.625700,180.000000,top
"C31","2.2uF","C_0603_1608Metric",55.100000,-57.200000,-90.000000,top
"C33","10uF","C_0603_1608Metric",64.550000,-49.175000,0.000000,top
"C34","10uF","C_0603_1608Metric",64.550000,-50.650000,0.000000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",47.500000,-41.880000,0.000000,top
"J2","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",68.120000,-37.500000,-90.000000,top
"J3","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",50.380000,-64.000000,90.000000,top
"J4","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",71.000000,-59.500000,180.000000,top
"L6","2.2uH","INDC2016X100N",60.500000,-44.500700,180.000000,top
"L7","2.2uH","INDC2016X100N",57.000000,-43.950700,-90.000000,top
"R2","500k","R_0201_0603Metric",54.180000,-53.225700,0.000000,top
"R3","47k","R_0201_0603Metric",54.175000,-53.925700,180.000000,top
"U2","NPM1300-QEAA-R7","QFN32_5X5_NOR",58.300000,-51.200000,-90.000000,top
